Characteristic. ,Total.,Less than 9th Grade.,9th to 12th Grade nongrad.,Graduate (including GED).,Some college or degree.,Associate Degree.,Total.,Bachelor's Degree.,Master's Degree.,Profressional Degree.,Doctorate Degree.,,,Characteristic ,Total,Less than 9th Grade ,9th to 12th Grade nongrad,Graduate (including GED),Some college or degree ,Associate Degree,Total,Bachelor's Degree,Master's Degree,Profressional Degree,Doctorate Degree
....Total,"15,045","1,704","1,754","4,388","2,192","1,524","3,483","2,397",863,100,123,,,....Total,"12,166",214,708,"3,542","2,290","1,482","3,929","2,462","1,184",133,151
Without earnings,"4,499",843,745,"1,545",544,284,539,377,132,18,11,,,Without earnings,"3,004",107,361,"1,118",589,265,563,410,138,11,4
With earnings,"10,546",861,"1,009","2,843","1,648","1,240","2,944","2,019",731,82,112,,,With earnings,"9,162",106,347,"2,424","1,701","1,217","3,366","2,051","1,046",122,147
"..$1 to $2,499 or loss",283,38,31,77,52,30,56,47,8,0,0,,,"..$1 to $2,499 or loss",199,14,16,53,68,17,30,29,0,0,0
"..$2,500 to $4,999",281,45,51,78,31,30,46,40,1,2,2,,,"..$2,500 to $4,999",193,4,8,99,49,24,9,3,4,2,0
"..$5,000 to $7,499",286,49,49,96,27,20,45,32,10,0,3,,,"..$5,000 to $7,499",183,3,18,73,39,23,27,13,14,0,0
"..$7,500 to $9,999",274,65,57,87,24,15,26,24,2,0,0,,,"..$7,500 to $9,999",190,0,22,97,35,19,17,14,3,0,0
"..$10,000 to $12,499",498,60,81,157,79,56,65,45,17,2,1,,,"..$10,000 to $12,499",311,8,26,118,58,51,49,40,4,1,4
"..$12,500 to $14,999",257,34,35,84,29,36,39,30,7,2,0,,,"..$12,500 to $14,999",158,0,13,55,32,23,35,22,11,3,0
"..$15,000 to $17,499",520,80,86,149,94,48,63,51,10,2,0,,,"..$15,000 to $17,499",417,0,33,154,94,64,72,56,16,0,0
"..$17,500 to $19,999",363,55,60,125,34,41,47,40,5,0,2,,,"..$17,500 to $19,999",218,5,18,101,31,22,42,29,9,0,4
"..$20,000 to $22,499",845,97,113,319,134,67,115,97,12,2,4,,,"..$20,000 to $22,499",519,5,27,210,123,50,103,69,26,3,5
"..$22,500 to $24,999",447,88,80,100,60,52,67,49,12,4,2,,,"..$22,500 to $24,999",310,7,37,93,73,48,52,45,5,2,0
"..$25,000 to $27,499",727,73,102,231,122,85,113,98,12,1,3,,,"..$25,000 to $27,499",560,12,38,220,106,74,110,80,30,0,0
"..$27,500 to $29,999",269,27,34,87,49,30,42,36,5,0,0,,,"..$27,500 to $29,999",246,16,2,96,44,31,57,47,8,2,0
"..$30,000 to $32,499",735,43,40,250,148,120,134,106,23,4,2,,,"..$30,000 to $32,499",701,9,21,244,109,127,190,168,16,2,3
"..$32,500 to $34,999",225,19,15,97,39,22,34,27,7,0,0,,,"..$32,500 to $34,999",196,3,6,88,36,25,38,31,7,0,0
"..$35,000 to $37,499",603,25,32,201,130,85,131,97,35,0,0,,,"..$35,000 to $37,499",384,2,7,112,93,76,93,64,29,0,0
"..$37,500 to $39,999",211,16,18,57,50,19,51,43,7,1,0,,,"..$37,500 to $39,999",207,0,7,35,60,33,72,56,13,0,3
"..$40,000 to $42,499",603,19,49,169,106,77,182,153,25,4,0,,,"..$40,000 to $42,499",560,3,22,103,138,89,205,151,48,4,2
"..$42,500 to $44,999",82,0,5,13,17,6,40,27,13,0,0,,,"..$42,500 to $44,999",124,0,4,25,14,22,60,45,14,1,0
"..$45,000 to $47,499",307,0,11,61,74,45,116,89,25,0,2,,,"..$45,000 to $47,499",339,0,3,91,67,30,149,95,43,1,10
"..$47,500 to $49,999",117,2,9,33,14,23,36,28,8,0,0,,,"..$47,500 to $49,999",181,2,2,36,19,23,100,61,39,0,0
"..$50,000 to $52,499",456,8,9,83,53,67,235,177,42,4,12,,,"..$50,000 to $52,499",401,7,4,69,79,26,216,141,67,1,7
"..$52,500 to $54,999",70,5,0,14,13,7,30,27,4,0,0,,,"..$52,500 to $54,999",81,0,0,14,21,9,37,22,9,0,6
"..$55,000 to $57,499",224,0,5,45,43,39,93,58,27,0,8,,,"..$55,000 to $57,499",266,6,0,36,55,27,142,90,50,2,0
"..$57,500 to $59,999",95,0,5,14,19,19,39,28,11,0,0,,,"..$57,500 to $59,999",100,0,0,15,21,22,42,31,11,0,0
"..$60,000 to $62,499",304,6,11,44,41,49,152,96,52,3,2,,,"..$60,000 to $62,499",331,3,5,39,45,85,154,78,65,8,4
"..$62,500 to $64,999",46,0,0,8,10,3,25,16,9,0,0,,,"..$62,500 to $64,999",75,0,0,4,10,16,45,23,16,0,6
"..$65,000 to $67,499",144,2,5,23,24,15,75,56,17,1,1,,,"..$65,000 to $67,499",198,0,0,30,37,22,109,50,49,2,9
"..$67,500 to $69,999",30,1,0,2,6,7,14,4,9,1,0,,,"..$67,500 to $69,999",38,0,0,7,6,7,17,1,16,0,0
"..$70,000 to $72,499",157,0,0,20,22,22,94,50,35,1,7,,,"..$70,000 to $72,499",165,0,1,27,18,25,94,48,44,2,1
"..$72,500 to $74,999",27,0,1,0,5,4,17,2,15,0,0,,,"..$72,500 to $74,999",21,0,0,2,2,4,12,10,2,0,0
"..$75,000 to $77,499",141,0,2,33,11,23,72,42,23,0,8,,,"..$75,000 to $77,499",142,0,1,17,27,9,88,42,42,4,0
"..$77,500 to $79,999",17,0,0,3,0,2,13,7,6,0,0,,,"..$77,500 to $79,999",24,0,0,0,6,7,10,10,0,0,0
"..$80,000 to $82,499",123,0,2,20,12,14,77,40,19,12,5,,,"..$80,000 to $82,499",139,0,0,8,2,13,116,54,40,17,4
"..$82,500 to $84,999",23,0,0,0,6,3,14,7,7,0,0,,,"..$82,500 to $84,999",22,0,0,5,5,7,5,1,2,0,2
"..$85,000 to $87,499",71,0,2,8,7,6,48,31,13,3,0,,,"..$85,000 to $87,499",111,0,0,11,3,7,90,47,32,4,7
"..$87,500 to $89,999",23,0,0,1,3,0,19,7,12,0,0,,,"..$87,500 to $89,999",18,0,0,2,0,2,14,4,7,0,3
"..$90,000 to $92,499",73,0,0,2,4,2,64,26,23,11,4,,,"..$90,000 to $92,499",81,0,0,7,12,9,53,28,14,11,0
"..$92,500 to $94,999",17,0,0,3,2,3,8,6,3,0,0,,,"..$92,500 to $94,999",16,0,0,0,3,0,13,10,3,0,0
"..$95,000 to $97,499",49,2,1,5,1,6,34,15,19,0,0,,,"..$95,000 to $97,499",30,0,0,0,2,6,22,9,13,0,0
"..$97,500 to $99,999",10,0,0,4,0,0,5,3,2,0,0,,,"..$97,500 to $99,999",23,0,0,0,6,0,17,8,4,5,0
"..$100,000 and over",513,3,8,40,52,41,369,164,138,23,44,,,"..$100,000 and over",685,0,4,27,53,43,558,224,222,46,66
Median earnings (dollars),"30,758","20,127","21,215","26,616","31,494","32,268","50,264","42,418","61,731","81,574","76,926",,,Median earnings (dollars),"36,168","26,698","21,754","26,797","32,245","35,290","52,005","46,640","61,861","90,215","85,888"
..Standard error (dollars),261,606,510,449,459,"1,203",983,"2,048","1,339","3,706","7,837",,,..Standard error (dollars),510,"1,520","1,409",472,"1,210","1,405",603,949,"1,581","7,624","11,542"
Mean earnings (dollars),"38,821","20,081","24,092","30,360","36,946","37,822","58,990","49,306","72,808","105,185","109,625",,,Mean earnings (dollars),"45,855","25,517","25,376","31,738","36,733","39,807","65,570","55,978","73,406","118,694","99,662"
..Standard error (dollars),613,651,"1,732",858,"1,394","1,103","1,477","1,368","3,476","17,621","14,434",,,..Standard error (dollars),891,"2,638","3,375","1,566","1,129","1,137","1,866","2,205","3,731","13,665","10,124"
Gini ratio,0.423,0.347,0.391,0.367,0.379,0.356,0.397,0.369,0.362,0.466,0.439,,,Gini ratio,0.418,0.357,0.42,0.397,0.377,0.345,0.376,0.365,0.338,0.388,0.362
..Standard error,0.0061,0.0154,0.0382,0.0124,0.0206,0.012,0.0111,0.0102,0.0225,0.0576,0.0423,,,..Standard error,0.009,0.0403,0.0638,0.0279,0.0148,0.0136,0.0129,0.0192,0.0227,0.0403,0.0328
,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic ,Total,Less than 9th Grade ,9th to 12th Grade nongrad,Graduate (including GED),Some college or degree ,Associate Degree,Total,Bachelor's Degree,Master's Degree,Profressional Degree,Doctorate Degree,,,Characteristic ,Total,Less than 9th Grade ,9th to 12th Grade nongrad,Graduate (including GED),Some college or degree ,Associate Degree,Total,Bachelor's Degree,Master's Degree,Profressional Degree,Doctorate Degree
....Total,"6,085",209,185,914,451,392,"3,934","2,282","1,240",143,268,,,....Total,"33,296","2,127","2,647","8,844","4,933","3,398","11,346","7,141","3,287",376,542
Without earnings,"1,742",125,82,310,130,107,988,629,305,34,20,,,Without earnings,"9,245",1075,1188,"2,973",1263,656,2090,1416,575,63,35
With earnings,"4,343",84,103,604,320,285,"2,946","1,654",935,109,248,,,With earnings,"24,051",1051,"1,459","5,871","3,669","2,742","9,256","5,724","2,712",313,507
"..$1 to $2,499 or loss",90,0,0,17,13,5,55,34,18,0,3,,,"..$1 to $2,499 or loss",572,52,47,147,133,52,141,110,26,0,3
"..$2,500 to $4,999",68,5,4,14,0,8,38,24,14,0,0,,,"..$2,500 to $4,999",542,54,63,191,80,62,93,67,19,4,2
"..$5,000 to $7,499",87,5,11,10,15,1,45,32,13,0,0,,,"..$5,000 to $7,499",556,57,78,179,81,44,117,77,37,0,3
"..$7,500 to $9,999",50,1,4,9,8,0,28,20,8,0,0,,,"..$7,500 to $9,999",514,66,83,193,67,34,71,58,13,0,0
"..$10,000 to $12,499",129,5,0,39,14,13,58,33,20,5,0,,,"..$10,000 to $12,499",938,73,107,314,151,120,172,118,41,8,5
"..$12,500 to $14,999",80,7,2,42,6,4,19,13,2,0,3,,,"..$12,500 to $14,999",495,41,50,181,67,63,93,65,20,5,3
"..$15,000 to $17,499",134,7,8,37,6,13,63,35,18,1,9,,,"..$15,000 to $17,499",1071,87,127,340,194,125,198,142,44,3,9
"..$17,500 to $19,999",69,1,0,15,9,4,39,25,14,0,0,,,"..$17,500 to $19,999",650,61,78,241,74,67,128,94,28,0,6
"..$20,000 to $22,499",220,18,23,72,5,18,85,61,24,0,0,,,"..$20,000 to $22,499",1584,120,163,601,262,135,303,227,62,5,9
"..$22,500 to $24,999",99,4,5,32,10,10,38,33,5,0,0,,,"..$22,500 to $24,999",856,99,122,225,143,110,157,127,22,6,2
"..$25,000 to $27,499",229,4,13,43,34,32,104,92,8,0,4,,,"..$25,000 to $27,499",1516,89,153,494,262,191,327,270,50,1,7
"..$27,500 to $29,999",86,2,3,22,13,3,43,30,10,1,2,,,"..$27,500 to $29,999",601,45,39,205,106,64,142,113,23,3,2
"..$30,000 to $32,499",188,2,7,56,22,15,85,54,20,3,8,,,"..$30,000 to $32,499",1624,54,68,550,279,262,409,328,59,9,13
"..$32,500 to $34,999",38,0,0,8,3,5,23,20,2,0,0,,,"..$32,500 to $34,999",459,22,21,193,78,52,95,78,16,0,0
"..$35,000 to $37,499",175,15,7,50,19,12,71,49,21,1,0,,,"..$35,000 to $37,499",1162,42,46,363,242,173,295,210,85,1,0
"..$37,500 to $39,999",59,0,1,9,8,6,35,26,7,2,0,,,"..$37,500 to $39,999",477,16,26,101,118,58,158,125,27,3,3
"..$40,000 to $42,499",130,0,9,19,9,20,73,46,20,5,2,,,"..$40,000 to $42,499",1293,22,80,291,253,186,460,350,93,13,4
"..$42,500 to $44,999",30,0,1,4,0,3,22,13,6,0,2,,,"..$42,500 to $44,999",236,0,10,42,31,31,122,85,33,1,2
"..$45,000 to $47,499",140,0,0,17,15,12,97,81,9,2,4,,,"..$45,000 to $47,499",786,0,14,169,156,87,362,265,77,3,16
"..$47,500 to $49,999",62,0,0,9,7,6,40,19,21,0,0,,,"..$47,500 to $49,999",360,4,11,78,40,52,176,108,68,0,0
"..$50,000 to $52,499",194,0,0,29,14,8,144,96,34,0,14,,,"..$50,000 to $52,499",1051,15,13,181,146,101,595,414,143,5,33
"..$52,500 to $54,999",35,0,0,3,4,7,22,20,2,0,0,,,"..$52,500 to $54,999",186,5,0,31,38,23,89,69,15,0,6
"..$55,000 to $57,499",113,0,0,9,10,10,83,54,23,0,5,,,"..$55,000 to $57,499",603,6,5,90,108,76,318,202,100,2,13
"..$57,500 to $59,999",28,0,0,0,2,0,26,15,11,0,0,,,"..$57,500 to $59,999",223,0,5,29,42,41,107,74,33,0,0
"..$60,000 to $62,499",214,0,0,13,20,19,162,108,41,2,11,,,"..$60,000 to $62,499",849,9,16,96,106,153,468,282,158,13,17
"..$62,500 to $64,999",21,1,0,0,0,1,19,13,6,0,0,,,"..$62,500 to $64,999",142,1,0,12,20,20,89,52,31,0,6
"..$65,000 to $67,499",70,0,0,0,6,7,57,49,7,0,2,,,"..$65,000 to $67,499",412,2,5,53,67,44,241,155,73,3,12
"..$67,500 to $69,999",32,0,0,1,4,6,21,6,9,0,6,,,"..$67,500 to $69,999",100,1,0,10,16,20,52,11,34,1,6
"..$70,000 to $72,499",95,0,0,2,6,6,82,43,34,2,4,,,"..$70,000 to $72,499",417,0,1,49,46,53,270,141,113,5,12
"..$72,500 to $74,999",10,0,0,0,1,0,9,3,2,3,0,,,"..$72,500 to $74,999",58,0,1,2,8,8,38,15,19,3,0
"..$75,000 to $77,499",120,1,0,7,2,1,109,45,49,7,9,,,"..$75,000 to $77,499",403,1,3,57,40,33,269,129,114,11,17
"..$77,500 to $79,999",29,0,0,2,0,0,26,13,12,0,1,,,"..$77,500 to $79,999",70,0,0,5,6,9,49,30,18,0,1
"..$80,000 to $82,499",114,0,0,4,7,5,98,48,36,0,14,,,"..$80,000 to $82,499",376,0,2,32,21,32,291,142,95,29,23
"..$82,500 to $84,999",43,3,0,0,4,2,34,11,19,0,4,,,"..$82,500 to $84,999",88,3,0,5,15,12,53,19,28,0,6
"..$85,000 to $87,499",52,0,0,0,3,0,50,26,14,2,8,,,"..$85,000 to $87,499",234,0,2,19,13,13,188,104,59,9,15
"..$87,500 to $89,999",13,0,0,0,0,0,13,8,5,0,0,,,"..$87,500 to $89,999",54,0,0,3,3,2,46,19,24,0,3
"..$90,000 to $92,499",103,0,0,1,5,3,95,36,47,2,10,,,"..$90,000 to $92,499",257,0,0,10,21,14,212,90,84,24,14
"..$92,500 to $94,999",26,0,0,0,2,0,24,16,9,0,0,,,"..$92,500 to $94,999",59,0,0,3,7,3,45,32,15,0,0
"..$95,000 to $97,499",35,1,0,0,0,0,33,12,13,4,4,,,"..$95,000 to $97,499",114,3,1,5,3,12,89,36,45,4,4
"..$97,500 to $99,999",13,0,0,0,0,0,13,5,6,0,3,,,"..$97,500 to $99,999",46,0,0,4,6,0,35,16,12,5,3
"..$100,000 and over",820,2,4,10,15,22,767,286,298,66,117,,,"..$100,000 and over",2018,5,16,77,120,106,1694,674,658,135,227
Median earnings (dollars),"50,109","21,602","22,490","25,920","35,127","37,805","62,145","52,209","77,042","120,318","92,481",,,Median earnings (dollars),"117,035","68,427","65,459","79,333","98,866","105,363","164,414","141,267","200,634","292,107","255,295"
..Standard error (dollars),"1,596","1,161","2,420","1,174","3,853","3,682","1,532","1,915","2,171","14,568","8,959",,,..Standard error (dollars),2367,"3,287","4,339",2095,"5,522","6,290","3,118","4,912","5,091","25,898","28,338"
Mean earnings (dollars),"67,583","35,052","26,070","29,386","40,949","47,073","82,678","64,770","96,153","138,166","126,953",,,Mean earnings (dollars),"152,259","80,650","75,538","91,484","114,628","124,702","207,238","170,054","242,367","362,045","336,240"
..Standard error (dollars),"2,264","9,930","3,096","1,363","2,798","5,533","3,090","3,137","6,191","15,899","13,081",,,..Standard error (dollars),3768,"13,219","8,203","3,787","5,321","7,773","6,433","6,710","13,398","47,185","37,639"
Gini ratio,0.478,0.52,0.35,0.348,0.386,0.406,0.451,0.42,0.447,0.381,0.433,,,Gini ratio,1.319,1.224,1.161,1.112,1.142,1.107,1.224,1.154,1.147,1.235,1.234
..Standard error,0.0124,0.1159,0.0552,0.02,0.0244,0.0583,0.015,0.0208,0.0273,0.0343,0.0388,,,..Standard error,0.0275,0.1716,0.1572,0.0603,0.0598,0.0839,0.039,0.0502,0.0725,0.1322,0.1139